"Subject" "AbsTrial" "List" "CardSet" "VerbCat" "Confusable." "TargBinary" "PTnumeric" "VerbClass" "Item" "PrimeType" "Homogeneity"
"267" 13 622 5 3 "spray" 1 1 1 "Locative" 38 "preferred" "Homogenous"
"268" 13 624 5 3 "show" 0 1 1 "Dative" 14 "preferred" "Heterogenous"
"269" 14 625 6 3 "give" 1 0 0 "Dative" 3 "dispreferred" "Homogenous"
"270" 14 628 6 3 "give" 1 1 0 "Dative" 4 "dispreferred" "Homogenous"
"271" 14 631 6 3 "give" 1 1 1 "Dative" 5 "preferred" "Homogenous"
"272" 14 633 6 3 "spray" 0 1 0 "Locative" 42 "dispreferred" "Heterogenous"
"273" 14 634 6 3 "give" 1 0 1 "Dative" 6 "preferred" "Homogenous"
"274" 14 637 6 3 "give" 0 1 1 "Dative" 1 "preferred" "Heterogenous"
"275" 14 640 6 3 "read" 0 1 1 "Dative" 9 "preferred" "Heterogenous"
"276" 14 641 6 3 "put" 1 1 1 "Locative" 28 "preferred" "Homogenous"
"277" 14 646 6 3 "throw" 0 1 0 "Dative" 20 "dispreferred" "Heterogenous"
"278" 14 651 6 3 "show" 1 1 1 "Dative" 16 "preferred" "Homogenous"
"279" 14 654 6 3 "show" 1 1 1 "Dative" 15 "preferred" "Homogenous"
"280" 14 659 6 3 "spray" 0 0 1 "Locative" 40 "preferred" "Heterogenous"
"281" 14 660 6 3 "show" 1 1 0 "Dative" 18 "dispreferred" "Homogenous"
"282" 14 661 6 3 "spray" 1 0 1 "Locative" 41 "preferred" "Homogenous"
"283" 14 663 6 3 "read" 0 1 1 "Dative" 10 "preferred" "Heterogenous"
"284" 14 666 6 3 "give" 0 0 1 "Dative" 2 "preferred" "Heterogenous"
"285" 14 667 6 3 "spray" 1 1 0 "Locative" 39 "dispreferred" "Homogenous"
"286" 14 669 6 3 "throw" 0 1 0 "Dative" 21 "dispreferred" "Heterogenous"
"287" 14 672 6 3 "show" 0 0 0 "Dative" 14 "dispreferred" "Heterogenous"
"288" 15 673 7 4 "read" 1 1 0 "Dative" 9 "dispreferred" "Homogenous"
"289" 15 682 7 4 "read" 1 1 1 "Dative" 12 "preferred" "Homogenous"
"290" 15 685 7 4 "read" 0 1 1 "Dative" 8 "preferred" "Heterogenous"
"291" 15 686 7 4 "rub" 1 1 0 "Locative" 33 "dispreferred" "Homogenous"
"292" 15 688 7 4 "give" 0 1 1 "Dative" 3 "preferred" "Heterogenous"
"293" 15 691 7 4 "throw" 0 1 0 "Dative" 19 "dispreferred" "Heterogenous"
"294" 15 694 7 4 "show" 0 1 0 "Dative" 16 "dispreferred" "Heterogenous"
"295" 15 698 7 4 "put" 0 1 0 "Locative" 28 "dispreferred" "Heterogenous"
"296" 15 699 7 4 "throw" 1 1 0 "Dative" 20 "dispreferred" "Homogenous"
